name,category_list,funding_total_usd,country_code,state_code,founded_at,funding_rounds,first_funding_at,last_funding_at,status
PlanSoft Corporation,,24000000,,,,1,1999-11-23,1999-11-23,closed
Planspot,"['Advertising', 'Event Management', 'Events', 'Sales and Marketing', 'Social Media']",720750,NLD,11,2011-08-01,1,2011-08-01,2011-08-01,closed
PlasmaSi,['Clean Technology'],2806096,USA,CA,2009-01-01,5,2010-05-10,2014-07-29,closed
PlasmaTech,"['Databases', 'Design', 'Wireless']",10000000,USA,TX,,1,2015-05-11,2015-05-11,ipo
Plasmyd,"['Life Sciences', 'Search']",15000,USA,CA,2011-01-01,1,2013-03-05,2013-03-05,acquired
Plastic Jungle,['E-Commerce'],23400000,USA,CA,2006-11-01,4,2009-01-01,2012-01-18,acquired
Plastio,"['Internet', 'Medical', 'Services']",30000,,,,1,2012-10-01,2012-10-01,closed
Plastiques Wolinak,"['Advanced Materials', 'Manufacturing', 'Medical']",200000,,,,1,2010-01-29,2010-01-29,closed
Plateau Systems,"['Career Management', 'Human Resources', 'SaaS', 'Software', 'Systems']",18000000,USA,VA,1996-02-06,1,2001-03-01,2001-03-01,acquired
Platform Solutions,['Hardware + Software'],37000000,USA,CA,1999-01-01,1,2007-11-27,2007-11-27,acquired
Platial,"['Maps', 'Public Transportation', 'Social Network Media']",3400000,USA,OR,,2,2005-10-01,2007-02-01,closed
Platinum Software Corporation,"['Accounting', 'Services', 'Software']",-,USA,CA,1984-01-01,1,1988-09-29,1988-09-29,closed
Plato Networks,['Semiconductors'],29527669,USA,CA,1996-01-01,3,2007-07-23,2010-06-09,closed
Platogo,"['Games', 'Startups']",-,AUT,9,2008-07-01,2,2008-01-01,2009-09-15,acquired
Platypus Technology,['Storage'],7000000,,,,1,2002-04-08,2002-04-08,closed
Plaxo,"['Contact Management', 'Curated Web', 'Databases', 'Synchronization', 'Trading']",28300000,USA,CA,2002-11-17,4,2002-11-01,2007-02-01,acquired
Play With Pictures / HangPic,"['Facebook Applications', 'Games', 'iOS', 'Photography']",100000,FRA,A8,2012-10-01,1,2012-10-01,2012-10-01,closed
play140,['Games'],500000,USA,MA,,1,2010-10-07,2010-10-07,acquired
PlayAR,"['Apps', 'Augmented Reality', 'Sports']",92138,,,2014-12-24,2,2014-01-22,2015-07-11,closed
PlayCafe,['Games'],-,USA,CA,2006-04-01,1,2007-12-01,2007-12-01,closed
Playcez,['Mobile'],530000,IND,7,2010-01-01,2,2012-10-31,2013-03-08,closed
PlayCrafter,['Games'],-,,,,1,2008-10-21,2008-10-21,closed
PLAYD8,"['Babies', 'Events', 'Kids', 'Mobile', 'Networking', 'Online Scheduling', 'Parenting', 'Social Network Media']",60000,USA,CA,2011-02-22,1,2011-02-22,2011-02-22,closed
Playdemic,['Games'],4378812,GBR,C5,2010-01-01,2,2012-08-20,2013-10-11,acquired
Playdom,"['Apps', 'Entertainment', 'Games']",76000000,USA,CA,2008-02-01,2,2009-11-11,2010-06-21,acquired
PlayerDuel,"['Mobile', 'Software']",21189,USA,CA,2011-01-01,2,2011-09-05,2012-06-13,closed
Playerize,['Games'],1000000,USA,CA,,1,2012-01-04,2012-01-04,acquired
Playfire,['Games'],2100000,GBR,H9,2007-01-01,1,2009-11-10,2009-11-10,acquired
PlayFirst,"['Games', 'iPhone', 'Mobile Games']",37720000,USA,CA,2004-09-30,5,2004-01-01,2013-04-25,acquired
Playfish,"['Apps', 'Facebook Applications', 'Games', 'Social Games', 'Social Network Media', 'Web Tools']",21000000,GBR,H9,2007-10-01,3,2008-03-11,2008-10-28,acquired
PlayHaven,"['Advertising', 'Mobile']",30800000,USA,CA,2014-08-19,6,2008-04-01,2014-10-20,acquired
Playnomics,"['Apps', 'Big Data', 'Mobile', 'Predictive Analytics']",6000000,USA,CA,2009-01-01,3,2009-12-16,2013-02-20,acquired
PlayOn! Sports,['Games'],10000000,USA,GA,2008-01-01,2,2010-08-02,2011-09-02,acquired
PlayPhilo.Com,['Curated Web'],-,USA,NY,,1,2010-07-29,2010-07-29,acquired
Playroom,,-,CHN,23,2012-12-24,1,2014-04-29,2014-04-29,closed
PlaySay,"['EdTech', 'Education', 'Language Learning']",820000,USA,CA,2008-04-04,3,2008-09-01,2011-01-24,acquired
PlaySpan,"['Game', 'Games']",46300000,USA,CA,2006-05-01,4,2007-09-01,2010-08-19,acquired
Playtika,"['Entertainment', 'Games', 'Social Games']",1500000,ISR,5,,1,2010-11-01,2010-11-01,acquired
Plaza Bank,"['Banking', 'E-Commerce', 'Non Profit']",4200000,USA,WA,,1,2014-07-03,2014-07-03,ipo
Plazes,"['Curated Web', 'Location Based Services', 'Maps', 'Social Media']",4695100,,,2006-01-01,2,2006-01-01,2007-02-01,acquired
PLD Space,"['Aerospace', 'Defense', 'Services', 'Technology']",1320474.84275345,ESP,60,2011-09-13,1,2013-01-01,2013-01-01,closed
PLEG,['Software'],2500000,USA,MA,,1,2003-10-21,2003-10-21,closed
Plehn Analytics,['Analytics'],150000,,,,1,2012-01-19,2012-01-19,closed
Plethora Technology,['Software'],1000000,USA,WV,2000-01-01,1,2005-06-09,2005-06-09,closed
Plexistor,"['Software', 'Storage', 'Technology']",-,,,2013-12-01,1,2014-09-17,2014-09-17,closed
Plextronics,['Clean Technology'],54847500,USA,PA,2002-01-01,10,2004-05-25,2013-10-04,acquired
Plexxikon,['Biotechnology'],46000000,USA,CA,2000-01-01,1,2004-05-26,2004-05-26,acquired
Pliant Technology,['Enterprise Software'],50300006,USA,CA,2006-04-01,3,2008-02-20,2010-01-05,acquired
Plibber,"['Advertising', 'Social Media', 'Social Network Media']",500000,,,,1,2013-09-30,2013-09-30,closed
"Plink Entertainment, Inc.","['Entertainment', 'Events', 'Social Commerce']",95000,,,2015-04-16,1,2015-08-01,2015-08-01,closed
Plink Search,"['Computer Vision', 'Search', 'Visual Search']",100000,GBR,H9,2009-04-01,1,2009-11-30,2009-11-30,acquired
plista,"['Ad Targeting', 'Advertising', 'Content', 'Mobile', 'Monetization', 'Personalization', 'Reviews and Recommendations']",3800000,DEU,16,2008-07-01,3,2008-11-01,2010-11-01,acquired
Plix,"['Advertising', 'Digital Media', 'Games', 'Social Media', 'Television', 'Video Streaming']",400000,,,2011-01-01,1,2012-01-01,2012-01-01,closed
Plixi,"['Curated Web', 'Photography']",2600000,USA,CA,2009-03-18,1,2010-03-30,2010-03-30,acquired
Plizy,"['Ediscovery', 'Entertainment', 'iPad', 'Photography', 'Video', 'Video Streaming']",5200000,USA,CA,2010-09-01,2,2011-05-19,2012-12-13,closed
Pluck,['Curated Web'],17000000,USA,TX,2003-01-01,3,2004-01-01,2006-11-14,acquired
Plug Apps,"['Apps', 'Databases', 'Internet', 'Personalization']",20000,,,,1,2014-05-01,2014-05-01,closed
Plug.dj,"['Curated Web', 'Music', 'Social Media', 'Video']",1250000,USA,CA,2012-02-01,1,2013-12-06,2013-12-06,closed
PluggedIn,"['Music', 'Video']",2000000,USA,CA,2006-08-01,1,2008-04-15,2008-04-15,closed
PlugRE.com,,250000,USA,NV,2015-01-01,1,2015-01-01,2015-01-01,closed
Plukka,"['E-Commerce', 'Fashion', 'Jewelry', 'Online Shopping']",1000000,USA,NY,2011-12-01,1,2014-02-01,2014-02-01,ipo
Plum Baby,,-,,,,1,2007-12-20,2007-12-20,acquired
Plumtree Software,['Software'],23000000,USA,CA,1996-01-01,1,2000-06-12,2000-06-12,acquired
PlumTV,"['Media', 'Television', 'Web Hosting']",29600000,USA,NY,2002-01-01,3,2006-12-22,2012-10-13,closed
PlumWillow,"['Curated Web', 'E-Commerce', 'Social Buying', 'Social Network Media', 'Teenagers']",705000,,,2010-01-01,2,2010-04-30,2011-12-08,closed
PLUQ,['Curated Web'],450000,,,2007-07-01,1,2007-07-01,2007-07-01,closed
Plura Processing,"['Cloud Computing', 'Monetization', 'Web Hosting']",750000,USA,TX,2007-09-01,1,2008-05-01,2008-05-01,closed
Plurchase,['Curated Web'],-,USA,CA,2009-10-09,1,2009-08-02,2009-08-02,closed
Pluristem Therapeutics,"['Biotechnology', 'Pharmaceuticals']",21370003,ISR,4,2003-01-01,4,2010-05-13,2015-06-28,ipo
Pluromed,['Hardware + Software'],2437899,USA,MA,2003-01-01,3,2010-04-21,2012-03-06,acquired
Plusmo,['Mobile'],4410000,USA,CA,2006-06-01,1,2008-05-01,2008-05-01,acquired
Plustxt,['Messaging'],-,IND,19,,1,2012-12-16,2012-12-16,acquired
pMDsoft,['Health Care'],-,USA,CA,1999-01-01,1,1999-11-01,1999-11-01,closed
PneumRx,['Health Care'],60000000,USA,CA,2004-01-01,2,2007-03-06,2011-01-04,acquired
PoachIt,"['Coupons', 'Curated Web', 'E-Commerce', 'Retail']",2800000,USA,NY,2011-01-01,2,2013-04-22,2014-09-16,closed
RallyCause,['Mobile'],150000,USA,OR,2011-10-01,2,2013-02-27,2013-03-15,closed
Pocket Communications Northeast,['Mobile'],125000000,USA,CT,2006-01-01,2,2008-11-01,2009-02-20,closed
Pocket Money,"['Education', 'Kids', 'Personal Finance', 'Task Management', 'Teaching STEM Concepts']",100000,USA,CA,2014-10-01,1,2014-10-01,2014-10-01,closed
pocketfungames,['Games'],-,,,,1,2009-03-02,2009-03-02,closed
PocketMobile,['Mobile'],6350000,SWE,26,,1,2008-11-14,2008-11-14,acquired
pocketvillage,"['Leisure', 'Local', 'Niche Specific', 'Search', 'Social Media', 'Tourism', 'Travel']",-,DEU,1,2010-01-01,2,2010-05-15,2010-10-01,closed
"PockitShip, Inc.","['Shipping', 'Technology']",-,USA,VA,,1,2015-06-30,2015-06-30,closed
PodBridge,,8500000,USA,CA,,1,2007-04-19,2007-04-19,closed
"Podcast, LLC",,-,,,,1,2008-11-14,2008-11-14,closed
Podcast Ready,['Software'],2490000,USA,TX,2005-01-01,2,2006-02-07,2010-04-14,acquired
Podio,"['Enterprise 2.0', 'Enterprise Software']",4600000,DNK,17,2009-03-01,3,2009-01-15,2011-02-10,acquired
POET Technologies,['Semiconductors'],10000000,CAN,ON,,2,2011-11-28,2014-02-13,ipo
PointAbout,"['Android', 'Consulting', 'iOS', 'Mobile']",-,USA,DC,,1,2010-06-25,2010-06-25,acquired
PointRight,"['Financial Services', 'Predictive Analytics']",5000000,,,,1,2015-03-30,2015-03-30,closed
Pokelabo,['Software'],12000000,JPN,4,2007-11-01,1,2010-06-01,2010-06-01,acquired
Pokemall,,-,KOR,11,2015-06-01,1,2015-07-01,2015-07-01,closed
Poke'n Call,"['Facebook Applications', 'Internet', 'Search', 'Social Media', 'Telecommunications', 'Twitter Applications', 'VoIP']",50000,,,2011-07-01,1,2011-07-01,2011-07-01,closed
Poland.com,,-,,,,1,1999-01-01,1999-01-01,closed
Polar,"['Apps', 'Mobile', 'Polling']",2880000,USA,CA,,2,2013-02-25,2014-02-13,acquired
PolarLake,['Enterprise Software'],7000000,IRL,7,1999-01-01,1,2005-10-18,2005-10-18,acquired
Polar Rose,"['Browser Extensions', 'Curated Web', 'Image Recognition', 'Photography']",5100000,SWE,27,2004-11-01,1,2006-11-15,2006-11-15,closed
Pole Star,['Software'],1080000,USA,CA,,1,2008-04-07,2008-04-07,closed
Polimax,,94000,,,,1,1983-06-01,1983-06-01,closed
Polimetrix,['Analytics'],7530000,USA,CA,2004-01-01,2,2004-03-15,2006-11-20,acquired
Poliris,"['Internet Marketing', 'Real Estate', 'Services']",70599032.7932507,FRA,A8,,1,2005-12-01,2005-12-01,closed
eVoter,"['Curated Web', 'Politics']",599997,USA,FL,2009-08-01,2,2009-09-01,2011-12-30,closed
Poll Me Ltd,"['Advertising', 'Market Research', 'Mobile']",114924,GBR,I5,2011-04-14,1,2011-06-07,2011-06-07,closed
Pollex Mobile Holdings,,-,,,,1,2005-03-07,2005-03-07,closed
Pollsb,"['Identity', 'Market Research', 'Polling', 'Reviews and Recommendations', 'Social Network Media', 'Surveys', 'Web Hosting']",2000000,ISR,5,2007-07-01,2,2007-01-01,2009-01-01,closed
PollVaultr,['Software'],60000,USA,CA,2012-01-01,1,2012-05-30,2012-05-30,closed
POLO Motorrad,,-,,,,2,2012-03-13,2015-02-02,closed
Polychromix,"['Telecommunications', 'Wireless']",5900000,USA,MA,,2,2005-04-27,2007-09-07,acquired
"POLYGLOTS, Inc.","['Entertainment', 'Language Learning', 'Technology']",350000,,,2014-05-28,2,2014-11-01,2015-03-31,closed
PolyMedix,['Biotechnology'],14000000,USA,PA,2002-01-01,1,2010-04-01,2010-04-01,ipo
Polymita Technologies,"['Business Development', 'Energy Efficiency', 'Software']",3091250,ESP,56,2002-01-01,1,2006-04-24,2006-04-24,acquired
PolyServe,['Software'],73500000,USA,OR,1999-01-01,5,2000-01-01,2006-11-03,acquired
Polytouch Medical,['Health Care'],830000,ISR,3,,1,2010-09-27,2010-09-27,closed
Polyvore,"['Curated Web', 'Fashion', 'Shopping']",22100000,USA,CA,2007-02-01,3,2007-12-07,2012-01-23,acquired
Pombai,"['Internet', 'Marketplaces', 'Mobile', 'Software', 'Transportation', 'Travel']",65118,LTU,65,2012-02-10,2,2012-02-26,2012-04-01,closed
Pomogatel,"['Consulting', 'Recruiting', 'Service Providers', 'Staffing Firms']",500000,RUS,48,2009-01-01,1,2012-02-01,2012-02-01,closed
Ponfac,"['Data Center Automation', 'Data Visualization', 'Testing']",182055,BRA,23,,1,1999-12-01,1999-12-01,closed
Ponte Solutions,['Software'],7500000,USA,CA,2001-01-01,1,2007-04-25,2007-04-25,acquired
"Crossboard Mobile (Formerly Pontiflex, Inc.)",['Advertising'],23949992,USA,NY,2008-01-01,5,2009-03-25,2014-06-05,acquired
Poolami,['Mobile'],25000,USA,NY,,1,2012-08-01,2012-08-01,closed
POP,,6000000,,,2014-06-03,1,2015-11-09,2015-11-09,closed
Pop Products,"['Technology', 'Wearables']",400000,,,2015-01-02,1,2015-05-15,2015-05-15,closed
PopCap Games,['Games'],29866459,USA,WA,2000-01-01,2,2009-05-25,2009-10-06,acquired
Popcuts,"['Ediscovery', 'Marketplaces', 'Music']",-,USA,CA,,1,2008-08-02,2008-08-02,closed
PopJam,"['Blogging Platforms', 'Curated Web', 'Entertainment', 'MicroBlogging']",-,GBR,H9,2008-07-01,1,2008-10-01,2008-10-01,closed
Pops,"['Mobile', 'Personalization']",1500000,ISR,5,2011-04-01,1,2012-02-13,2012-02-13,closed
Popset,"['Collaboration', 'Curated Web', 'File Sharing', 'Location Based Services', 'Photography', 'Social Media']",-,USA,CA,2012-02-01,1,2012-03-01,2012-03-01,closed
Poptank Studios,['Games'],810000,USA,CA,2007-08-27,2,2009-09-29,2010-06-14,closed
Poptip,"['Big Data', 'Communities', 'Finance', 'Polling', 'Software']",2410000,USA,NY,2012-01-01,3,2012-03-01,2013-06-01,acquired
PopularMedia,['Advertising'],12250000,USA,CA,2003-01-01,2,2007-02-01,2008-07-28,acquired
Popularo,"['Curated Web', 'News', 'Social Bookmarking', 'Social Media']",-,USA,PA,2007-10-15,1,2007-11-01,2007-11-01,closed
Population Genetics Technologies,['Biotechnology'],20629520,GBR,C3,,6,2008-02-19,2013-03-01,closed
Portafare,"['Apps', 'Mobile', 'Ticketing', 'Training']",-,USA,NY,2011-01-01,1,2011-01-01,2011-01-01,closed
PortalPlayer,['Entertainment'],42000000,USA,CA,,1,2002-01-01,2002-01-01,acquired
Portico Learning Solutions,['Software'],3400000,USA,LA,,2,2006-12-07,2008-03-18,acquired
Portico Systems,"['Health Care', 'Information Technology', 'Software']",14950000,USA,PA,,3,2006-09-13,2009-04-25,acquired
Porticor Cloud Security,"['Cloud Computing', 'Data Security', 'Privacy', 'Security']",2000000,USA,CA,2012-02-15,2,2012-01-01,2013-07-18,acquired
Portland Software Services Limited,"['Employer Benefits Programs', 'Health and Insurance']",4100000,,,2012-03-22,2,2013-12-15,2015-04-20,closed
Portola Pharmaceuticals,['Biotechnology'],249099998,USA,CA,2003-01-01,5,2003-12-10,2011-12-07,ipo
Portware,"['Artificial Intelligence', 'Design', 'Trading']",-,USA,NY,2000-01-01,1,2014-08-06,2014-08-06,acquired
Positive Networks,['Security'],2350000,USA,MI,,1,2007-09-25,2007-09-25,acquired
TagMan,"['Ad Targeting', 'Advertising']",13550000,USA,NY,2007-11-01,4,2010-02-15,2013-08-22,acquired
PositiveID,"['Health Care', 'Health Diagnostics', 'Medical Devices']",1912996,USA,FL,2001-01-01,4,2012-03-01,2014-03-01,ipo
Positron Dynamics,['Manufacturing'],350000,USA,CA,,1,2012-04-29,2012-04-29,closed
Posmetrics,['E-Commerce'],-,USA,CA,2012-05-31,1,2013-02-25,2013-02-25,closed
Possibility Space,['Games'],1500000,USA,TX,,1,2007-02-27,2007-02-27,closed
Postabon,['Software'],1049999,USA,NY,2009-01-01,1,2010-03-08,2010-03-08,closed
Postagain,,600000,ARE,3,2015-10-09,1,2012-11-01,2012-11-01,closed
Postcard on the Run,"['Apps', 'Mobile']",3882595,USA,CA,2011-09-01,3,2011-11-17,2012-11-22,closed
Postcron,"['Facebook Applications', 'Productivity Software', 'Sales and Marketing', 'Social Media', 'Twitter Applications', 'Web Development']",143083,ARG,5,2011-04-01,2,2012-03-23,2012-06-01,acquired
Postdeck,['News'],540000,USA,CA,2010-01-01,1,2011-01-01,2011-01-01,closed
Posterbee,['Enterprise Software'],254220,,,2010-06-10,1,2010-08-20,2010-08-20,closed
Posterous,"['Blogging Platforms', 'Curated Web', 'Networking']",10140000,USA,CA,2008-05-01,5,2008-05-01,2013-06-07,acquired
Postini,['Curated Web'],-,USA,CA,1999-06-02,1,2001-02-26,2001-02-26,acquired
Postling,['Messaging'],700000,USA,NY,2009-06-15,3,2009-08-01,2011-01-20,acquired
Postly,,-,,,2014-10-13,1,2015-01-01,2015-01-01,closed
PostPath,['Messaging'],24300000,USA,CA,2003-01-01,2,2004-12-07,2007-01-17,acquired
PostRocket,['Analytics'],610000,USA,CA,2012-02-01,2,2011-11-01,2012-05-31,closed
PostX,['Software'],11000000,USA,CA,,1,2001-11-05,2001-11-05,acquired
Potash West,['Mining Technologies'],2900000,USA,WA,,1,2014-10-10,2014-10-10,ipo
Potbelly Sandwich Works,"['Hospitality', 'Restaurants']",58000000,USA,IL,1996-01-01,1,2006-06-12,2006-06-12,ipo
Potentia Power Systems,"['Semiconductors', 'Services', 'Telecommunications']",12000000,CAN,ON,,1,2002-10-01,2002-10-01,closed
Poundworld,['Retail'],44579707,GBR,H5,,1,2014-07-08,2014-07-08,acquired
Povo,"['Advertising', 'Local', 'Reviews and Recommendations', 'Web Tools']",-,USA,MA,2007-06-01,1,2007-06-01,2007-06-01,closed
Power Africa,['Energy'],40000,CHL,12,,1,2014-06-01,2014-06-01,closed
Power Analog Microelectronics,['Hardware + Software'],6000000,USA,CA,2004-01-01,1,2007-12-01,2007-12-01,closed
Power Analytics Corporation,"['Energy', 'Enterprise Software', 'Software']",384180,USA,CA,1983-01-01,1,2009-09-09,2009-09-09,acquired
Power.com,['Curated Web'],6000000,USA,CA,2006-11-01,1,2008-02-01,2008-02-01,closed
Power Content,"['Content Creators', 'Content Delivery', 'Crowdsourcing']",150000,RUS,71,2010-01-01,1,2012-01-01,2012-01-01,closed
Power Efficiency,['Clean Technology'],5295000,USA,NV,,2,2009-12-31,2010-06-22,closed
Power-One,"['Clean Energy', 'Energy']",60000000,USA,CA,,1,2009-05-20,2009-05-20,acquired
Power2Switch,"['Clean Energy', 'Clean Technology', 'Energy', 'Internet', 'Portals', 'Price Comparison', 'Startups']",1575000,USA,IL,2009-05-03,3,2010-06-29,2011-12-05,acquired
PowerCloud Systems,"['Cloud Computing', 'Cloud Management', 'Networking', 'Software', 'Wireless']",6000000,USA,CA,2008-01-01,2,2010-12-01,2011-12-14,acquired
PowerDMS,['Software'],5300000,USA,FL,2001-01-01,1,2014-05-13,2014-05-13,closed
PowerDsine,"['Industrial Automation', 'Intelligent Systems', 'VoIP']",71000000,USA,CA,1994-01-01,6,1996-01-01,2002-02-01,acquired
Powered,"['Business Services', 'Consulting', 'Facebook Applications', 'Sales and Marketing', 'Services', 'Social Media', 'Social Media Marketing']",19398821,USA,TX,1999-01-01,3,2006-04-04,2010-01-11,acquired
PowerID,,12000000,ISR,2,,1,2007-09-04,2007-09-04,closed
Powerlase Photonics,"['Energy', 'Industrial', 'Innovation Management', 'Lasers', 'Manufacturing']",13103215.9035603,GBR,P6,,1,2005-01-21,2005-01-21,acquired
PowerPlan,['Software'],110100000,USA,GA,,1,2010-02-26,2010-02-26,acquired
"PowerPlayNinja, LLC",,-,,,2015-06-16,1,2015-09-21,2015-09-21,closed
PowerReviews,"['Analytics', 'Reviews and Recommendations', 'Social Commerce', 'Software']",75120312,USA,IL,,7,2005-12-01,2014-07-10,acquired
PowerSecure International,['Clean Technology'],65000000,USA,NC,,2,2013-06-20,2015-09-10,ipo
Powerset,['Search'],33000000,USA,CA,2006-10-01,3,2006-05-01,2007-06-01,acquired
PowerSicel,"['Education', 'Services']",2500000,USA,CO,2001-01-01,1,2003-10-01,2003-10-01,acquired
PowerSmart,,-,USA,CT,1998-01-01,1,2000-10-18,2000-10-18,acquired
Powervation,['Hardware + Software'],39496651,USA,CA,2006-01-01,7,2007-12-17,2014-12-22,acquired
Powerwave Technologies,['Mobile'],-,USA,CA,1985-01-01,1,1995-10-10,1995-10-10,ipo
Pownce,"['Curated Web', 'MicroBlogging', 'Social Media']",-,USA,CA,2007-06-01,1,2008-01-01,2008-01-01,acquired
"Powur, PBC","['Clean Energy', 'Clean Technology', 'Services']",750000,USA,CA,2015-02-04,1,2015-03-08,2015-03-08,closed
Poynt,['Mobile'],6261912,CAN,AB,2007-01-01,2,2011-01-06,2011-04-18,acquired
POZEN,['Pharmaceuticals'],350000000,USA,NC,1996-01-01,1,2015-06-08,2015-06-08,ipo
PPG Industries,['Clean Technology'],2100000,USA,PA,1983-01-01,1,2014-02-03,2014-02-03,ipo
PPS,['Photography'],59640000,CHN,,2005-06-01,4,2005-12-01,2011-10-01,acquired
PPT Reasearch,['Clean Technology'],3000000,USA,PA,,1,2008-01-24,2008-01-24,closed
PPTV,['Photography'],706500000,CHN,23,2004-01-01,5,2005-01-01,2013-10-01,acquired
pr2go.com,['Public Relations'],403729,,,,1,2010-07-15,2010-07-15,closed
Practical EHR Solutions,['Biotechnology'],250000,USA,MI,2010-01-01,1,2011-07-05,2011-07-05,closed
Prairielaw.com,,1150000,,,,1,1999-12-13,1999-12-13,closed
"Praized Media, Inc.",['Search'],-,,,,1,2009-09-01,2009-09-01,closed
Precise Software,"['Architecture', 'Business Intelligence', 'Software']",6776999,USA,TX,,7,2008-03-06,2013-01-18,acquired
PreCision Dermatology,['Biotechnology'],115400002,USA,RI,2010-01-01,3,2010-11-30,2013-09-23,acquired
Precision Optics,['Hardware + Software'],4217152,USA,MA,,2,2012-10-15,2014-07-08,ipo
Precision Toxicilogy,"['Analytics', 'Fitness', 'Medical']",14500000,USA,CA,,1,2015-04-01,2015-04-01,acquired
Preclick,['Software'],2150000,USA,NJ,2001-01-01,2,2005-06-13,2007-02-14,acquired
Precog,"['Analytics', 'Developer APIs', 'Finance', 'FinTech', 'Services']",2818000,USA,CO,2010-10-25,4,2011-08-01,2013-03-06,acquired
Precyse,"['Consulting', 'Health Care']",12020000,USA,PA,1999-01-01,2,2010-01-12,2010-08-17,acquired
Predictify,['Advertising'],4300000,USA,CA,2007-03-01,1,2008-03-25,2008-03-25,closed
Prediction Dynamics,"['Finance', 'Software']",552270,IRL,7,2000-01-01,1,2001-06-13,2001-06-13,closed
Predilytics,['Health and Wellness'],20500009,USA,NH,2011-01-01,3,2012-09-05,2014-12-09,acquired
Preedo,['Software'],50000,SWE,,,1,2008-04-09,2008-04-09,closed
Prefound,"['Communities', 'Marketplaces', 'Online Shopping']",12500,USA,CA,2015-03-23,1,2015-04-18,2015-04-18,closed
PregLem,['Biotechnology'],57968922.8844951,GBR,C5,,2,2007-06-27,2007-12-04,acquired
Prematics,['Biotechnology'],10786338,USA,VA,,1,2009-04-07,2009-04-07,acquired
Premier Diagnostics,"['Diagnostics', 'Health and Wellness', 'Health Diagnostics', 'Medical']",6200000,CAN,BC,,2,2014-07-09,2014-10-02,ipo
Premier Healthcare Exchange,['Health and Wellness'],4000000,USA,NJ,,1,2010-09-23,2010-09-23,acquired
PremiTech,['Software'],4010000,DNK,17,1999-01-01,1,2007-01-29,2007-01-29,closed
Premium Advert Solutions,"['Advertising', 'Subscription Businesses']",2000,USA,NJ,,1,2010-08-14,2010-08-14,closed
Preno,['Apps'],18000,,,,1,2013-03-01,2013-03-01,closed
Prenova,['Clean Technology'],15650000,USA,GA,2002-01-01,3,2006-05-10,2008-04-24,acquired
PrEP Biopharm,,32449220.8323998,GBR,H9,,1,2015-11-02,2015-11-02,closed
PrePay,['Finance'],-,USA,CA,2011-01-01,1,2011-03-01,2011-03-01,closed
PrePayMe,"['Payments', 'Social Media']",50000,USA,NY,2013-06-01,1,2012-06-25,2012-06-25,closed
PrepChamps,"['Curated Web', 'Networking', 'Social Recruiting']",1200000,USA,GA,2007-02-01,1,2008-04-22,2008-04-22,closed
Prescreen,['Games'],1000000,USA,CA,2011-01-01,1,2011-01-01,2011-01-01,closed
Presence Networks,['Software'],490007.121436832,GBR,P9,,1,2007-01-16,2007-01-16,closed
Presence Online,"['Consulting', 'Content', 'Project Management']",3400000,,,,1,2001-09-27,2001-09-27,closed
PresenceID,"['Analytics', 'Big Data', 'Business Intelligence', 'Cloud Management', 'Data Center Automation', 'Data Integration', 'Enterprise Software', 'IaaS', 'Identity Management', 'Information Security', 'Internet of Things', 'Mobile Enterprise', 'Network Security', 'Predictive Analytics', 'Risk Management', 'SaaS', 'Unifed Communications']",4500000,USA,UT,2005-03-03,1,2005-03-03,2005-03-03,closed
Presidio,['Health and Wellness'],-,USA,MD,,1,2011-04-04,2011-04-04,acquired
Presidio Reinsurance Group,,50000000,USA,CA,,1,2007-07-14,2007-07-14,acquired
Presidium Learning,"['EdTech', 'Education']",9500000,USA,VA,,2,2008-07-02,2009-06-19,acquired
Press,"['Collaboration', 'Messaging', 'Presentations', 'Publishing', 'Software']",70000,USA,NY,2011-06-01,1,2011-12-15,2011-12-15,closed
Press Box,"['Games', 'Mobile', 'Sports']",25000,,,2015-06-07,1,2015-01-11,2015-01-11,closed
Press-sense,['Software'],14000000,ISR,4,2001-01-01,3,2005-06-06,2008-06-25,acquired
Pressflip,"['Artificial Intelligence', 'Curated Web']",110000,USA,CA,2007-06-05,1,2008-01-01,2008-01-01,closed
PressConnect,['News'],500000,IND,19,2012-01-01,1,2012-01-01,2012-01-01,closed
Presstler,['Curated Web'],25000,,,2011-01-01,1,2012-08-01,2012-08-01,closed
Pressure BioSciences,"['Biotechnology', 'Health Diagnostics']",10628756,USA,MA,1978-01-01,9,2009-02-20,2014-03-09,ipo
Prestiamoci,"['Finance', 'Financial Services', 'Internet']",1287243,ITA,9,2007-01-01,2,2013-10-30,2014-09-19,acquired
Prestolite Electric,"['Hardware + Software', 'Manufacturing']",33500000,USA,MI,1991-03-01,1,2010-01-18,2010-01-18,acquired
Preventes.fr,"['E-Commerce', 'Ticketing']",100000,GBR,P8,2007-10-01,1,2007-07-14,2007-07-14,closed
Preventsys,['Security'],10000000,USA,CA,2002-01-01,2,2004-02-19,2005-09-12,closed
Price Interactive,,-,USA,MA,1996-01-01,1,1998-06-02,1998-06-02,acquired
Price Legacy Corp,,100000000,USA,CA,1994-01-01,1,2001-03-29,2001-03-29,acquired
PriceAdvice,['Curated Web'],300000,USA,TX,,1,2011-07-20,2011-07-20,closed
PriceArea,"['E-Commerce', 'Online Shopping', 'Price Comparison', 'Search', 'Shopping', 'Social Buying']",-,SGP,,2010-05-23,2,2010-09-01,2012-07-13,acquired
